"历厘矫埃","郴何柯档","郴何嚼档","CO2丑档","寇何柯档","浅氢","浅加","老荤樊","穿利老荤樊","皑快"
"2024-11-19 00:00","11.7","92.7","411","-1.5","快","1.1","0","1095","0"
"2024-11-19 00:01","11.6","94.4","412","-1.5","快","1.5","0","1095","0"
"2024-11-19 00:02","11.7","93.2","412","-1.5","快","1.5","0","1095","0"
"2024-11-19 00:03","11.5","95","412","-1.5","快","1.1","0","1095","0"
"2024-11-19 00:04","11.7","92.5","413","-1.4","快","0.9","0","1095","0"
"2024-11-19 00:05","11.7","92.9","413","-1.5","快","1.2","0","1095","0"
"2024-11-19 00:06","11.7","93.4","413","-1.7","快","1.3","0","1095","0"
"2024-11-19 00:07","11.8","91.3","413","-1.6","快","1.2","0","1095","0"
"2024-11-19 00:08","11.8","91.8","413","-1.7","快","1.2","0","1095","0"
"2024-11-19 00:09","11.8","92","413","-1.7","快","1.5","0","1095","0"
"2024-11-19 00:10","11.8","92.6","413","-1.7","快","1.1","0","1095","0"
"2024-11-19 00:11","11.8","91.1","414","-1.8","快","1.4","0","1095","0"
"2024-11-19 00:12","11.9","89.1","413","-1.7","快","1.1","0","1095","0"
"2024-11-19 00:13","11.7","92","414","-1.8","快","1.1","0","1095","0"
"2024-11-19 00:14","11.8","91.6","414","-1.7","快","1","0","1095","0"
"2024-11-19 00:15","11.7","93.4","415","-1.8","快","1.1","0","1095","0"
"2024-11-19 00:16","11.7","94.7","415","-1.8","快","1","0","1095","0"
"2024-11-19 00:17","11.6","94.8","412","-1.7","快","1.1","0","1095","0"
"2024-11-19 00:18","11.7","93.3","412","-1.7","快","1.1","0","1095","0"
"2024-11-19 00:19","11.9","91.6","412","-1.7","快","1.1","0","1095","0"
"2024-11-19 00:20","11.7","93","409","-1.6","快","0.9","0","1095","0"
"2024-11-19 00:21","11.5","94.3","412","-1.6","快","1.1","0","1095","0"
"2024-11-19 00:22","11.6","94.1","410","-1.5","快","0.7","0","1095","0"
"2024-11-19 00:23","11.7","92.5","409","-1.6","快","0.7","0","1095","0"
"2024-11-19 00:24","11.7","93.9","412","-1.5","快","1","0","1095","0"
"2024-11-19 00:25","11.8","90.3","412","-1.6","快","0.7","0","1095","0"
"2024-11-19 00:26","11.7","92","412","-1.6","快","1.1","0","1095","0"
"2024-11-19 00:27","11.4","96.8","412","-1.6","快","1.1","0","1095","0"
"2024-11-19 00:28","11.5","93.4","413","-1.5","快","0.9","0","1095","0"
"2024-11-19 00:29","11.6","92.1","413","-1.6","快","1.1","0","1095","0"
"2024-11-19 00:30","11.7","93.5","412","-1.6","快","1.1","0","1095","0"
