"";"CO2 Dose State";"Light Acc Today";"Meas CO2 Level";"Meas Rel Hum";"Meas GH Temp";"Rain State";"Meas Light";"Meas Wind Speed";"Meas Wind Dir";"Meas Out Temp";"EC Dosing";"pH Dosing";"Calc pH Level";"Meas pH 1 Level";"Meas pH 2 Level";"Meas EC 1 Level";"Meas EC 2 Level";"Meas EC 1 Level";"Irrig Flow";"Irrig Flow"
"";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1 MEAS BOX 1";"MAXIMIZER:ZONE 1 MEAS BOX 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 1";"MAXIMIZER:ZONE 2";"MAXIMIZER:ZONE 1"
"";"";"Li Acc Units";"PP Million";"Percent";"o Celsius";"";"Lt Int Units";"M/S or MPH";"";"o Celsius";"Percent";"Percent";"pH";"pH";"pH";"mS/cm";"mS/cm";"mS/cm";"";""
"18-11-2024 01:00:00";0;0;530.32;86.16;13.98;0;0.02;0;0;4.15;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:05:00";0;0;530.84;86.84;13.83;0;0;0;0;4.18;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:10:00";0;0;531;87;13.8;0;0.08;0;1;3.95;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:15:00";0;0;532.68;85.32;13.97;0;0.1;0;1;3.73;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:20:00";0;0;533;86.68;14;0;0.1;0;1;3.62;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:25:00";0;0;537.2;85.32;13.92;0;0.02;0;0;3.52;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:30:00";0;0;532.96;85;13.98;0;0.08;0;1;3.58;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:35:00";0;0;537.88;85.84;14;0;0.18;0;1;3.52;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:40:00";0;0;535.64;85.16;14.08;0;0.12;0;1;3.42;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:45:00";0;0;535;85;14.1;0;0.1;0;1;3.4;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:50:00";0;0;538.36;85;14.1;0;0.1;0;1;3.4;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 01:55:00";0;0;533.12;82.48;14.27;0;0.1;0;1;3.32;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 02:00:00";0;0;537.04;84.52;14.38;0;0.1;0;1;3.3;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 02:05:00";0;0;543.04;84.16;14.48;0;0.1;0;1;3.22;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 02:10:00";0;0;542.32;84.84;14.25;0;0.18;0;0;3.2;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 02:15:00";0;0;547.01;85.83;14.12;0;0.12;0;0;3.2;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 02:20:00";0;0.83;546.33;84.33;14.18;0;0.1;0;1;3.12;0;0;0;6.3;6.6;3.4;3.5;3.4;-32767;0
"18-11-2024 02:25:00";0;1;545.17;83.17;14.2;0;0.1;0;1;3.02;0;0;0;6.3;6.6;3.32;3.5;3.32;-32767;0
"18-11-2024 02:30:00";0;1;545.83;85.5;14.12;0;0.1;0;0;3.08;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 02:35:00";0;1;546.83;86;14.02;0;0.18;0;0;3.1;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 02:40:00";0;1;547;86.83;13.92;0;0.12;0;0;2.93;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 02:45:00";0;1;553.67;86.17;13.98;0;0.18;0;1;2.98;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 02:50:00";0;1;553.33;85.17;13.92;0;0.12;0;1;2.75;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 02:55:00";0;1;561.33;83.33;13.98;0;0.1;0;1;2.7;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:00:00";0;1;569.67;85.5;14;0;0.1;0;1;2.62;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:05:00";0;1;572.67;84.33;14.17;0;0.1;0;0;2.52;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:10:00";0;1;570.5;83.17;14.12;0;0.18;0;1;2.42;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:15:00";0;1;572.5;83.83;14.1;0;0.12;0;1;2.4;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:20:00";0;1;568.83;84.83;14.1;0;0.1;0;1;2.32;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:25:00";0;1;568.83;85;14.1;0;0.18;0;1;2.3;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:30:00";0;1;574.83;85;14.02;0;0.12;0;1;2.22;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:35:00";0;1;570.17;84.17;14.17;0;0.1;0;1;2.2;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:40:00";0;1;567.33;85.67;14.2;0;0.1;0;1;2.12;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:45:00";0;1;566.17;85.17;14.28;0;0.18;0;1;2.02;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:50:00";0;1;577.67;85.83;14.3;0;0.12;0;0;2.08;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 03:55:00";0;1;598.33;86;14.22;0;0.18;0;0;2.18;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:00:00";0;1;593.67;86;14.12;0;0.2;0;1;2.37;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:05:00";0;1;597;86.83;13.93;0;0.2;0;1;2.48;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:10:00";0;1;592.17;87;13.9;0;0.2;0;1;2.25;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:15:00";0;1;593.5;87.83;13.73;0;0.2;0;1;2.28;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:20:00";0;1.83;591.5;88;13.7;0;0.12;0;1;2.13;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:25:00";0;2;591;88;13.7;0;0.1;0;1;1.93;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:30:00";0;2;594.33;88;13.78;0;0.1;0;1;1.9;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:35:00";0;2;594.17;88;13.88;0;0.1;0;0;1.65;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:40:00";0;2;590.67;87.17;13.98;0;0.1;0;1;1.68;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
"18-11-2024 04:45:00";0;2;590;86.17;14.17;0;0.1;0;1;1.62;0;0;0;6.3;6.6;3.3;3.5;3.3;-32767;0
