구역이름,날짜,내온평균,내부습도,배지온도,CO2,외부온도,풍향,풍속,광량,누적일사,강우신호,
1 구역,="2024-11-13 00:00:47",15,99.2,15,1800,7.58,328,1.5,0,1085,0,
1 구역,="2024-11-13 00:01:47",15.35,98.2,15.4,1800,7.52,340,1.5,0,1085,0,
1 구역,="2024-11-13 00:02:47",14.95,99.9,14.9,1800,7.44,0,0.5,0,1085,0,
1 구역,="2024-11-13 00:03:48",15.15,99.9,15.1,1799,7.36,351,0.5,0,1085,0,
1 구역,="2024-11-13 00:04:48",15.25,99.4,15.2,1798,7.36,351,0.5,0,1085,0,
1 구역,="2024-11-13 00:05:48",15.25,99.9,15.2,1800,7.46,351,1,0,1085,0,
1 구역,="2024-11-13 00:06:49",15.2,99.3,15.2,1799,7.54,350,0.5,0,1085,0,
1 구역,="2024-11-13 00:07:49",15.2,98.6,15.2,1799,7.6,350,1,0,1085,0,
1 구역,="2024-11-13 00:08:49",15.05,97.2,15,1799,7.58,333,1,0,1085,0,
1 구역,="2024-11-13 00:09:50",15.35,97.4,15.3,1800,7.46,347,1,0,1085,0,
1 구역,="2024-11-13 00:10:50",15.2,99.9,15.2,1801,7.4,351,1,0,1085,0,
1 구역,="2024-11-13 00:11:51",15.25,97.6,15.2,1799,7.3,258,0.5,0,1085,0,
1 구역,="2024-11-13 00:12:51",15.4,98.3,15.3,1800,7.3,0,0.5,0,1085,0,
1 구역,="2024-11-13 00:13:51",15.15,99.6,15.1,1800,7.28,346,1,0,1085,0,
1 구역,="2024-11-13 00:14:52",14.95,99.9,14.9,1798,7.3,351,0.5,0,1085,0,
1 구역,="2024-11-13 00:15:52",15.15,99.8,15.1,1800,7.36,249,1.5,0,1085,0,
1 구역,="2024-11-13 00:16:52",15.2,99.4,15.2,1800,7.34,0,1.5,0,1085,0,
1 구역,="2024-11-13 00:17:53",15.4,98.1,15.4,1800,7.22,5,1.5,0,1085,0,
1 구역,="2024-11-13 00:18:53",15.1,98.7,15.1,1800,7.26,29,1.5,0,1085,0,
1 구역,="2024-11-13 00:19:54",14.6,99.9,14.6,1800,7.28,35,1.5,0,1085,0,
1 구역,="2024-11-13 00:20:54",14.85,99.9,14.8,1799,7.2,18,1,0,1085,0,
1 구역,="2024-11-13 00:21:54",14.65,99.9,14.6,1799,7.2,15,1,0,1085,0,
1 구역,="2024-11-13 00:22:55",14.85,99.9,14.8,1799,7.22,7,1,0,1085,0,
1 구역,="2024-11-13 00:23:55",14.75,99.9,14.6,1800,7.14,7,1,0,1085,0,
1 구역,="2024-11-13 00:24:55",15,99.9,15,1800,7.14,19,1,0,1085,0,
1 구역,="2024-11-13 00:25:56",14.85,99.8,14.8,1800,7.14,15,1,0,1085,0,
1 구역,="2024-11-13 00:26:56",15.1,97,15.1,1800,7.24,26,1,0,1085,0,
1 구역,="2024-11-13 00:27:57",14.7,99.9,14.6,1801,7.24,19,1.5,0,1085,0,
1 구역,="2024-11-13 00:28:57",15.05,99.9,15,1800,7.28,11,1.5,0,1085,0,
1 구역,="2024-11-13 00:29:57",14.75,99.9,14.7,1798,7.34,31,2.1,0,1085,0,
1 구역,="2024-11-13 00:30:58",15.2,98.7,15.2,1798,7.46,0,2.1,0,1085,0,
1 구역,="2024-11-13 00:31:58",14.9,97.1,14.9,1800,7.5,14,1,0,1085,0,
1 구역,="2024-11-13 00:32:59",15,97.1,15,1801,7.66,19,1.5,0,1085,0,
1 구역,="2024-11-13 00:33:59",14.7,99.9,14.7,1801,7.74,11,1.5,0,1085,0,
1 구역,="2024-11-13 00:34:59",15.05,98.7,15,1799,7.68,10,1.5,0,1085,0,
1 구역,="2024-11-13 00:35:59",14.95,98.8,15,1799,7.62,12,1.5,0,1085,0,
1 구역,="2024-11-13 00:37:00",15.1,97.2,15.1,1799,7.5,29,1,0,1085,0,
1 구역,="2024-11-13 00:38:00",14.85,99.9,14.8,1798,7.42,4,1,0,1085,0,
1 구역,="2024-11-13 00:39:01",14.7,99.9,14.7,1799,7.42,20,1,0,1085,0,
1 구역,="2024-11-13 00:40:01",14.75,99.9,14.6,1799,7.44,12,1,0,1085,0,
1 구역,="2024-11-13 00:41:01",14.7,99.9,14.7,1801,7.38,7,1.5,0,1085,0,
1 구역,="2024-11-13 00:42:02",14.65,98.8,14.6,1800,7.4,0,0.5,0,1085,0,
1 구역,="2024-11-13 00:43:02",14.9,98.6,14.9,1799,7.32,0,1,0,1085,0,
1 구역,="2024-11-13 00:44:02",14.95,98.9,14.7,1801,7.24,255,1,0,1085,0,
1 구역,="2024-11-13 00:45:03",14.7,99.9,14.7,1799,7.18,242,1.5,0,1085,0,
1 구역,="2024-11-13 00:46:03",14.9,99.9,14.9,1801,7.14,0,1,0,1085,0,
1 구역,="2024-11-13 00:47:04",14.9,99.5,15,1798,7.04,0,1,0,1085,0,
1 구역,="2024-11-13 00:48:04",14.85,99.9,14.8,1798,7.14,2,0.5,0,1085,0,
1 구역,="2024-11-13 00:49:04",14.6,99.9,14.6,1800,7.06,10,0.5,0,1085,0,
1 구역,="2024-11-13 00:50:05",14.8,99.9,14.8,1800,7.06,2,1,0,1085,0,
1 구역,="2024-11-13 00:51:05",14.8,99.9,14.8,1799,7.2,2,1.5,0,1085,0,
1 구역,="2024-11-13 00:52:05",14.6,99.4,14.6,1800,7.28,11,1.5,0,1085,0,
1 구역,="2024-11-13 00:53:06",14.8,98.9,14.8,1800,7.26,17,1,0,1085,0,
1 구역,="2024-11-13 00:54:06",14.65,99.5,14.4,1799,7.3,0,1,0,1085,0,
1 구역,="2024-11-13 00:55:07",14.7,99.9,14.7,1800,7.38,5,1,0,1085,0,
1 구역,="2024-11-13 00:56:07",14.45,99.9,14.4,1799,7.34,6,1,0,1085,0,
1 구역,="2024-11-13 00:57:07",14.3,99.9,14.3,1799,7.28,10,1,0,1085,0,
1 구역,="2024-11-13 00:58:08",14.85,99.9,14.7,1800,7.18,0,0.5,0,1085,0,
1 구역,="2024-11-13 00:59:08",14.9,96.3,14.9,1800,7.18,0,0,0,1085,0,
1 구역,="2024-11-13 01:00:08",14.75,98.6,14.7,1800,7.08,0,0,0,1085,0,
1 구역,="2024-11-13 01:01:09",14.9,97.1,14.9,1800,6.98,0,1.5,0,1085,0,
1 구역,="2024-11-13 01:02:09",14.85,99.5,14.9,1799,6.98,350,1,0,1085,0,
