"date_time","medium_weight","drain_weight","drain_weight_rev","irrigation_weight","irrigation_weight_rev","consumptions","light"
"2025-10-13 T 00:00","17604","0.00","0.00","0.00","0.00",0,"0"
"2025-10-13 T 00:01","17604","0.00","0.00","0.00","0.00",0,"0"
"2025-10-13 T 00:02","17604","0.00","0.00","0.00","0.00",0,"0"
"2025-10-13 T 00:03","17603","0.00","0.00","0.00","0.00",1,"0"
"2025-10-13 T 00:04","17603","0.00","0.00","0.00","0.00",1,"0"
"2025-10-13 T 00:05","17603","0.00","0.00","0.00","0.00",1,"0"
"2025-10-13 T 00:06","17603","0.00","0.00","0.00","0.00",1,"0"
"2025-10-13 T 00:07","17603","0.00","0.00","0.00","0.00",1,"0"
"2025-10-13 T 00:08","17603","0.00","0.00","0.00","0.00",1,"0"
"2025-10-13 T 00:09","17603","0.00","0.00","0.00","0.00",1,"0"
"2025-10-13 T 00:10","17603","0.00","0.00","0.00","0.00",1,"0"
"2025-10-13 T 00:11","17602","0.00","0.00","0.00","0.00",2,"0"
"2025-10-13 T 00:12","17602","0.00","0.00","0.00","0.00",2,"0"
"2025-10-13 T 00:13","17602","0.00","0.00","0.00","0.00",2,"0"
"2025-10-13 T 00:14","17602","0.00","0.00","0.00","0.00",2,"0"
"2025-10-13 T 00:15","17602","0.00","0.00","0.00","0.00",2,"0"
"2025-10-13 T 00:16","17602","0.00","0.00","0.00","0.00",2,"0"
"2025-10-13 T 00:17","17602","0.00","0.00","0.00","0.00",2,"0"
"2025-10-13 T 00:18","17600","0.00","0.00","0.00","0.00",4,"0"
"2025-10-13 T 00:19","17600","0.00","0.00","0.00","0.00",4,"0"
"2025-10-13 T 00:20","17600","0.00","0.00","0.00","0.00",4,"0"
"2025-10-13 T 00:21","17600","0.00","0.00","0.00","0.00",4,"0"
"2025-10-13 T 00:22","17600","0.00","0.00","0.00","0.00",4,"0"
"2025-10-13 T 00:23","17600","0.00","0.00","0.00","0.00",4,"0"
"2025-10-13 T 00:24","17599","0.00","0.00","0.00","0.00",5,"0"
"2025-10-13 T 00:25","17599","0.00","0.00","0.00","0.00",5,"0"
"2025-10-13 T 00:26","17599","0.00","0.00","0.00","0.00",5,"0"
"2025-10-13 T 00:27","17599","0.00","0.00","0.00","0.00",5,"0"
"2025-10-13 T 00:28","17598","0.00","0.00","0.00","0.00",6,"0"
"2025-10-13 T 00:29","17598","0.00","0.00","0.00","0.00",6,"0"
"2025-10-13 T 00:30","17598","0.00","0.00","0.00","0.00",6,"0"
"2025-10-13 T 00:31","17598","0.00","0.00","0.00","0.00",6,"0"
"2025-10-13 T 00:32","17597","0.00","0.00","0.00","0.00",7,"0"
"2025-10-13 T 00:33","17597","0.00","0.00","0.00","0.00",7,"0"
"2025-10-13 T 00:34","17597","0.00","0.00","0.00","0.00",7,"0"
"2025-10-13 T 00:35","17596","0.00","0.00","0.00","0.00",8,"0"
"2025-10-13 T 00:36","17596","0.00","0.00","0.00","0.00",8,"0"
"2025-10-13 T 00:37","17596","0.00","0.00","0.00","0.00",8,"0"
"2025-10-13 T 00:38","17596","0.00","0.00","0.00","0.00",8,"0"
"2025-10-13 T 00:39","17595","0.00","0.00","0.00","0.00",9,"0"
"2025-10-13 T 00:40","17596","0.00","0.00","0.00","0.00",8,"0"
"2025-10-13 T 00:41","17595","0.00","0.00","0.00","0.00",9,"0"
"2025-10-13 T 00:42","17595","0.00","0.00","0.00","0.00",9,"0"
"2025-10-13 T 00:43","17594","0.00","0.00","0.00","0.00",10,"0"
"2025-10-13 T 00:44","17594","0.00","0.00","0.00","0.00",10,"0"
"2025-10-13 T 00:45","17594","0.00","0.00","0.00","0.00",10,"0"
"2025-10-13 T 00:46","17594","0.00","0.00","0.00","0.00",10,"0"
"2025-10-13 T 00:47","17594","0.00","0.00","0.00","0.00",10,"0"
"2025-10-13 T 00:48","17593","0.00","0.00","0.00","0.00",11,"0"
"2025-10-13 T 00:49","17593","0.00","0.00","0.00","0.00",11,"0"
"2025-10-13 T 00:50","17593","0.00","0.00","0.00","0.00",11,"0"
"2025-10-13 T 00:51","17592","0.00","0.00","0.00","0.00",12,"0"
"2025-10-13 T 00:52","17592","0.00","0.00","0.00","0.00",12,"0"
"2025-10-13 T 00:53","17592","0.00","0.00","0.00","0.00",12,"0"
"2025-10-13 T 00:54","17591","0.00","0.00","0.00","0.00",13,"0"
"2025-10-13 T 00:55","17591","0.00","0.00","0.00","0.00",13,"0"
"2025-10-13 T 00:56","17590","0.00","0.00","0.00","0.00",14,"0"
"2025-10-13 T 00:57","17590","0.00","0.00","0.00","0.00",14,"0"
"2025-10-13 T 00:58","17590","0.00","0.00","0.00","0.00",14,"0"
"2025-10-13 T 00:59","17590","0.00","0.00","0.00","0.00",14,"0"
"2025-10-13 T 01:00","17590","0.00","0.00","0.00","0.00",14,"0"
"2025-10-13 T 01:01","17590","0.00","0.00","0.00","0.00",14,"0"
"2025-10-13 T 01:02","17590","0.00","0.00","0.00","0.00",14,"0"
"2025-10-13 T 01:03","17588","0.00","0.00","0.00","0.00",16,"0"
"2025-10-13 T 01:04","17589","0.00","0.00","0.00","0.00",15,"0"
"2025-10-13 T 01:05","17588","0.00","0.00","0.00","0.00",16,"0"
"2025-10-13 T 01:06","17588","0.00","0.00","0.00","0.00",16,"0"
"2025-10-13 T 01:07","17588","0.00","0.00","0.00","0.00",16,"0"
"2025-10-13 T 01:08","17588","0.00","0.00","0.00","0.00",16,"0"
"2025-10-13 T 01:09","17587","0.00","0.00","0.00","0.00",17,"0"
"2025-10-13 T 01:10","17587","0.00","0.00","0.00","0.00",17,"0"
"2025-10-13 T 01:11","17586","0.00","0.00","0.00","0.00",18,"0"
"2025-10-13 T 01:12","17587","0.00","0.00","0.00","0.00",17,"0"
"2025-10-13 T 01:13","17587","0.00","0.00","0.00","0.00",17,"0"
"2025-10-13 T 01:14","17587","0.00","0.00","0.00","0.00",17,"0"
"2025-10-13 T 01:15","17586","0.00","0.00","0.00","0.00",18,"0"
"2025-10-13 T 01:16","17586","0.00","0.00","0.00","0.00",18,"0"
"2025-10-13 T 01:17","17585","0.00","0.00","0.00","0.00",19,"0"
"2025-10-13 T 01:18","17584","0.00","0.00","0.00","0.00",20,"0"
"2025-10-13 T 01:19","17584","0.00","0.00","0.00","0.00",20,"0"
"2025-10-13 T 01:20","17584","0.00","0.00","0.00","0.00",20,"0"
"2025-10-13 T 01:21","17583","0.00","0.00","0.00","0.00",21,"0"
"2025-10-13 T 01:22","17583","0.00","0.00","0.00","0.00",21,"0"
"2025-10-13 T 01:23","17581","0.00","0.00","0.00","0.00",23,"0"
"2025-10-13 T 01:24","17582","0.00","0.00","0.00","0.00",22,"0"
"2025-10-13 T 01:25","17581","0.00","0.00","0.00","0.00",23,"0"
"2025-10-13 T 01:26","17580","0.00","0.00","0.00","0.00",24,"0"
"2025-10-13 T 01:27","17580","0.00","0.00","0.00","0.00",24,"0"
"2025-10-13 T 01:28","17580","0.00","0.00","0.00","0.00",24,"0"
"2025-10-13 T 01:29","17579","0.00","0.00","0.00","0.00",25,"0"
"2025-10-13 T 01:30","17579","0.00","0.00","0.00","0.00",25,"0"
"2025-10-13 T 01:31","17579","0.00","0.00","0.00","0.00",25,"0"
"2025-10-13 T 01:32","17579","0.00","0.00","0.00","0.00",25,"0"
"2025-10-13 T 01:33","17579","0.00","0.00","0.00","0.00",25,"0"
"2025-10-13 T 01:34","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:35","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:36","17577","0.00","0.00","0.00","0.00",27,"0"
"2025-10-13 T 01:37","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:38","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:39","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:40","17577","0.00","0.00","0.00","0.00",27,"0"
"2025-10-13 T 01:41","17577","0.00","0.00","0.00","0.00",27,"0"
"2025-10-13 T 01:42","17577","0.00","0.00","0.00","0.00",27,"0"
"2025-10-13 T 01:43","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:44","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:45","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:46","17578","0.00","0.00","0.00","0.00",26,"0"
"2025-10-13 T 01:47","17577","0.00","0.00","0.00","0.00",27,"0"
"2025-10-13 T 01:48","17576","0.00","0.00","0.00","0.00",28,"0"
"2025-10-13 T 01:49","17577","0.00","0.00","0.00","0.00",27,"0"
"2025-10-13 T 01:50","17576","0.00","0.00","0.00","0.00",28,"0"
"2025-10-13 T 01:51","17576","0.00","0.00","0.00","0.00",28,"0"
"2025-10-13 T 01:52","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 01:53","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 01:54","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 01:55","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 01:56","17573","0.00","0.00","0.00","0.00",31,"0"
"2025-10-13 T 01:57","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 01:58","17575","0.00","0.00","0.00","0.00",29,"0"
"2025-10-13 T 01:59","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 02:00","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 02:01","17573","0.00","0.00","0.00","0.00",31,"0"
"2025-10-13 T 02:02","17573","0.00","0.00","0.00","0.00",31,"0"
"2025-10-13 T 02:03","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 02:04","17574","0.00","0.00","0.00","0.00",30,"0"
"2025-10-13 T 02:05","17573","0.00","0.00","0.00","0.00",31,"0"
"2025-10-13 T 02:06","17573","0.00","0.00","0.00","0.00",31,"0"
"2025-10-13 T 02:07","17572","0.00","0.00","0.00","0.00",32,"0"
"2025-10-13 T 02:08","17572","0.00","0.00","0.00","0.00",32,"0"
"2025-10-13 T 02:09","17571","0.00","0.00","0.00","0.00",33,"0"
"2025-10-13 T 02:10","17571","0.00","0.00","0.00","0.00",33,"0"
"2025-10-13 T 02:11","17571","0.00","0.00","0.00","0.00",33,"0"
"2025-10-13 T 02:12","17571","0.00","0.00","0.00","0.00",33,"0"
"2025-10-13 T 02:13","17570","0.00","0.00","0.00","0.00",34,"0"
"2025-10-13 T 02:14","17571","0.00","0.00","0.00","0.00",33,"0"
"2025-10-13 T 02:15","17570","0.00","0.00","0.00","0.00",34,"0"
"2025-10-13 T 02:16","17569","0.00","0.00","0.00","0.00",35,"0"
"2025-10-13 T 02:17","17569","0.00","0.00","0.00","0.00",35,"0"
"2025-10-13 T 02:18","17570","0.00","0.00","0.00","0.00",34,"0"
"2025-10-13 T 02:19","17571","0.00","0.00","0.00","0.00",33,"0"
"2025-10-13 T 02:20","17570","0.00","0.00","0.00","0.00",34,"0"
"2025-10-13 T 02:21","17570","0.00","0.00","0.00","0.00",34,"0"
"2025-10-13 T 02:22","17570","0.00","0.00","0.00","0.00",34,"0"
"2025-10-13 T 02:23","17569","0.00","0.00","0.00","0.00",35,"0"
"2025-10-13 T 02:24","17568","0.00","0.00","0.00","0.00",36,"0"
"2025-10-13 T 02:25","17569","0.00","0.00","0.00","0.00",35,"0"
"2025-10-13 T 02:26","17569","0.00","0.00","0.00","0.00",35,"0"
"2025-10-13 T 02:27","17569","0.00","0.00","0.00","0.00",35,"0"
"2025-10-13 T 02:28","17569","0.00","0.00","0.00","0.00",35,"0"
"2025-10-13 T 02:29","17568","0.00","0.00","0.00","0.00",36,"0"
"2025-10-13 T 02:30","17568","0.00","0.00","0.00","0.00",36,"0"
"2025-10-13 T 02:31","17567","0.00","0.00","0.00","0.00",37,"0"
"2025-10-13 T 02:32","17568","0.00","0.00","0.00","0.00",36,"0"
"2025-10-13 T 02:33","17567","0.00","0.00","0.00","0.00",37,"0"
"2025-10-13 T 02:34","17567","0.00","0.00","0.00","0.00",37,"0"
"2025-10-13 T 02:35","17566","0.00","0.00","0.00","0.00",38,"0"
"2025-10-13 T 02:36","17566","0.00","0.00","0.00","0.00",38,"0"
"2025-10-13 T 02:37","17566","0.00","0.00","0.00","0.00",38,"0"
"2025-10-13 T 02:38","17565","0.00","0.00","0.00","0.00",39,"0"
"2025-10-13 T 02:39","17565","0.00","0.00","0.00","0.00",39,"0"
"2025-10-13 T 02:40","17566","0.00","0.00","0.00","0.00",38,"0"
"2025-10-13 T 02:41","17564","0.00","0.00","0.00","0.00",40,"0"
"2025-10-13 T 02:42","17564","0.00","0.00","0.00","0.00",40,"0"
"2025-10-13 T 02:43","17564","0.00","0.00","0.00","0.00",40,"0"
"2025-10-13 T 02:44","17564","0.00","0.00","0.00","0.00",40,"0"
"2025-10-13 T 02:45","17564","0.00","0.00","0.00","0.00",40,"0"
"2025-10-13 T 02:46","17564","0.00","0.00","0.00","0.00",40,"0"
"2025-10-13 T 02:47","17562","0.00","0.00","0.00","0.00",42,"0"
"2025-10-13 T 02:48","17562","0.00","0.00","0.00","0.00",42,"0"
"2025-10-13 T 02:49","17561","0.00","0.00","0.00","0.00",43,"0"
"2025-10-13 T 02:50","17562","0.00","0.00","0.00","0.00",42,"0"
"2025-10-13 T 02:51","17561","0.00","0.00","0.00","0.00",43,"0"
"2025-10-13 T 02:52","17560","0.00","0.00","0.00","0.00",44,"0"
"2025-10-13 T 02:53","17560","0.00","0.00","0.00","0.00",44,"0"
"2025-10-13 T 02:54","17560","0.00","0.00","0.00","0.00",44,"0"
"2025-10-13 T 02:55","17560","0.00","0.00","0.00","0.00",44,"0"
"2025-10-13 T 02:56","17558","0.00","0.00","0.00","0.00",46,"0"
"2025-10-13 T 02:57","17559","0.00","0.00","0.00","0.00",45,"0"
"2025-10-13 T 02:58","17558","0.00","0.00","0.00","0.00",46,"0"
"2025-10-13 T 02:59","17558","0.00","0.00","0.00","0.00",46,"0"
"2025-10-13 T 03:00","17557","0.00","0.00","0.00","0.00",47,"0"
"2025-10-13 T 03:01","17557","0.00","0.00","0.00","0.00",47,"0"
"2025-10-13 T 03:02","17556","0.00","0.00","0.00","0.00",48,"0"
"2025-10-13 T 03:03","17557","0.00","0.00","0.00","0.00",47,"0"
"2025-10-13 T 03:04","17557","0.00","0.00","0.00","0.00",47,"0"
"2025-10-13 T 03:05","17556","0.00","0.00","0.00","0.00",48,"0"
"2025-10-13 T 03:06","17556","0.00","0.00","0.00","0.00",48,"0"
"2025-10-13 T 03:07","17556","0.00","0.00","0.00","0.00",48,"0"
"2025-10-13 T 03:08","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:09","17555","0.00","0.00","0.00","0.00",49,"0"
"2025-10-13 T 03:10","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:11","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:12","17555","0.00","0.00","0.00","0.00",49,"0"
"2025-10-13 T 03:13","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:14","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:15","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:16","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:17","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:18","17553","0.00","0.00","0.00","0.00",51,"0"
"2025-10-13 T 03:19","17553","0.00","0.00","0.00","0.00",51,"0"
"2025-10-13 T 03:20","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:21","17555","0.00","0.00","0.00","0.00",49,"0"
"2025-10-13 T 03:22","17554","0.00","0.00","0.00","0.00",50,"0"
"2025-10-13 T 03:23","17553","0.00","0.00","0.00","0.00",51,"0"
"2025-10-13 T 03:24","17553","0.00","0.00","0.00","0.00",51,"0"
"2025-10-13 T 03:25","17552","0.00","0.00","0.00","0.00",52,"0"
"2025-10-13 T 03:26","17552","0.00","0.00","0.00","0.00",52,"0"
"2025-10-13 T 03:27","17552","0.00","0.00","0.00","0.00",52,"0"
"2025-10-13 T 03:28","17552","0.00","0.00","0.00","0.00",52,"0"
"2025-10-13 T 03:29","17552","0.00","0.00","0.00","0.00",52,"0"
"2025-10-13 T 03:30","17553","0.00","0.00","0.00","0.00",51,"0"
"2025-10-13 T 03:31","17553","0.00","0.00","0.00","0.00",51,"0"
"2025-10-13 T 03:32","17552","0.00","0.00","0.00","0.00",52,"0"
"2025-10-13 T 03:33","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:34","17550","0.00","0.00","0.00","0.00",54,"0"
"2025-10-13 T 03:35","17550","0.00","0.00","0.00","0.00",54,"0"
"2025-10-13 T 03:36","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:37","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:38","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:39","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:40","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:41","17550","0.00","0.00","0.00","0.00",54,"0"
"2025-10-13 T 03:42","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:43","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:44","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:45","17550","0.00","0.00","0.00","0.00",54,"0"
"2025-10-13 T 03:46","17551","0.00","0.00","0.00","0.00",53,"0"
"2025-10-13 T 03:47","17550","0.00","0.00","0.00","0.00",54,"0"
"2025-10-13 T 03:48","17550","0.00","0.00","0.00","0.00",54,"0"
"2025-10-13 T 03:49","17550","0.00","0.00","0.00","0.00",54,"0"
"2025-10-13 T 03:50","17550","0.00","0.00","0.00","0.00",54,"0"
